endpoint,run,JVM_CPU_pct,Native_Memory_Reserved_GB,Native_Memory_Committed_GB,Physical_Memory_Used_GB,Heap_Used_MB,lat_mean_s,lat_p50_s,lat_p90_s,lat_p95_s,lat_p99_s,lat_max_s,requests,rate,throughput,success,bytes_in_total
traditional,1,.3070763179729727800,3.5246241413171346,0.4420863544244481,7.652948496759921,173.90041769118537902832,0.142633962,0.11152182,0.166047067,0.269021966,0.737071339,4.5553052,600000,1000.0003801001445,999.2002714443179,1,22200000
virtual,2,.1948097734482757800,3.5208313824486233,0.23033473901673704,7.420696669709897,46.38954438103569984436,0.186181622,0.108716159,0.239119896,0.542747024,1.827569146,8.621272337,600000,1000.0020157840634,998.7035864975157,0.999995,19799901
traditional,3,.3085459648048046700,3.524464753147835,0.5521875479394036,7.814085884608965,175.74119634213657379150,0.171599756,0.110377447,0.192892508,0.36099887,1.46827418,12.217819294,600000,1000.001418797013,999.815278026398,0.999995,22199889
virtual,4,.1821218105097449100,3.5309711553513288,0.6690220798694801,7.8316240824625165,170.38981246948242187500,0.341115386,0.109310006,0.404779251,1.265734481,6.043262678,27.453902833,599999,1000.0008461587929,999.1531221242577,0.999331665552776,19786734
traditional,5,.2993407841591589800,3.5230375250726045,0.31226437161027315,7.395062631037996,94.60011706144914627075,0.320271396,0.119743536,0.748657959,1.306920031,2.870955584,11.936578066,600000,1000.0020180274058,999.776777509725,0.9999583333333333,22199075
virtual,6,.1887070078110943000,3.521536903579937,0.26136915923464304,7.325240335064734,63.45111788236177825927,0.914042624,0.111054291,1.48333147,4.452082522,18.503658003,70.029003506,600000,1000.0008590840713,995.0813458763039,0.9952633333333334,19706214
traditional,7,.327719868603603200,3.5209440341557205,0.3489259172376173,6.78385804046219,128.91328239440917968750,0.131115496,0.111335586,0.1351894,0.163838111,0.638924591,8.149824006,600000,1000.0005262752769,999.7347199388512,1,22200000
virtual,8,.1900578178260867500,3.521324880974657,0.24898263309736496,7.168640867678705,57.29995193481445312500,0.118668407,0.109229171,0.127796614,0.149621203,0.277190774,3.197598872,600000,1000.0011523063279,999.8216505292077,1,19800000
traditional,9,.3008433924174172400,3.524017661903472,0.4590062756898409,7.387952172595343,176.95377897179645538330,0.12811629,0.112003254,0.132828714,0.165450612,0.506228381,4.057285141,600000,1000.0012140931406,999.81616220255,1,22200000
virtual,10,.1883099295052471300,3.530834651748722,0.6154804541380842,7.531756441036384,153.85275486537389755249,24.260381848,1.134925548,81.671292901,90.900345905,122.41964604,192.25726401,600000,999.9998701350169,755.4865072348937,0.755685,14962563
