modelo,carga,run,lat_mean_ns,lat_p50_ns,lat_p90_ns,lat_p95_ns,lat_p99_ns,lat_max_ns,requests,rate,throughput,success,bytes_in_total
results,traditional,run11,320973627,112335991,848603754,1028229405,1204868522,1340607620,600000,1000.0010170027009,999.511211396135,1,22200000
results,traditional,run13,328023316,112961434,866127791,1042714353,1222318653,1474307467,600000,1000.0015705791334,999.7187851090601,1,22200000
results,traditional,run15,424468174,133083503,967156017,1154951465,3073654913,30649318429,599999,1000.0002360521158,999.7185882083329,0.9998966664944442,22197669
results,traditional,run17,368893219,133811441,940893668,1118324441,1461518878,6966492633,600000,1000.0013658351988,998.2060980259284,1,22200000
results,traditional,run19,338842362,127471901,864877472,1050984307,1238443213,6709974309,600000,1000.000292391752,999.8201786332064,1,22200000
results,traditional,run1,852583983,209123442,1431658343,3428066748,10475999198,70000799871,600000,1000.0008984974739,997.1606787503339,0.9980583333333334,22156895
results,traditional,run3,761113181,162444887,1246259467,2833714151,10155850340,67467577847,600000,1000.0002787450777,998.5567897016607,0.998735,22171917
results,traditional,run5,325465434,114329744,855072431,1038561927,1212262297,1497359131,600000,1000.0015771891542,999.8219812729764,1,22200000
results,traditional,run7,324098511,113236870,854542970,1039575241,1210399985,1477265980,600000,1000.0011524829949,999.8073258538141,1,22200000
results,traditional,run9,13891409172,652527255,52360518851,65726799773,88676032284,146209112326,600000,1000.0003222651039,873.661622331829,0.8745933333333333,19415972
results,virtual,run10,289230287,113066987,711456852,895095966,1113995084,1443250246,600000,1000.0010480744317,999.1879141094862,1,19800000
results,virtual,run12,349900053,111260726,788257894,1001198075,2712619007,30662734485,600000,1000.0007506855635,998.9426218736289,0.9999966666666666,19799934
results,virtual,run14,293083805,113009276,723922224,910521483,1136063847,3450519365,600000,1000.0008432940444,999.8279980914127,1,19800000
results,virtual,run16,296351585,116498261,745646022,925425121,1121759817,1349505934,600000,1000.0006377270735,999.8151265461804,1,19800000
results,virtual,run18,306164806,126340651,764279828,941389932,1129724650,3040150512,600000,1000.0016812778267,999.793708408335,1,19800000
results,virtual,run20,288237470,118963843,683791817,877254786,1111850145,2548197703,600000,1000.0019195220179,999.819652546071,1,19800000
results,virtual,run2,24219657094,9840462688,71118262351,86830358565,108989612795,178176663383,600000,1000.001204758118,678.2487430262088,0.73507,14554386
results,virtual,run4,290086259,113615299,720772810,901396638,1115673325,1278441544,600000,1000.0016511527263,999.131004395157,1,19800000
results,virtual,run6,293084578,120652974,715896068,899108028,1113888678,2334979395,600000,1000.000379721811,999.7267131994248,1,19800000
results,virtual,run8,298892412,110497660,726123210,914182424,1159077735,7538660436,599999,1000.0000825534778,998.9718112630916,1,19799967
