modelo,carga,run,lat_mean_s,lat_p50_s,lat_p90_s,lat_p95_s,lat_p99_s,lat_max_s,requests,rate,throughput,success,bytes_in_total,cpu_mean,cpu_max,mem_mean,mem_max,rss_mean_kb,rss_max_kb,threads_mean,threads_max
results,traditional,11,0.320973627,0.112335991,0.848603754,1.028229405,1.204868522,1.34060762,600000,1000.0010170027009,999.511211396135,1,22200000,0.027213647441104497,2.87,8.972258326563434,9.7,749231.0251827782,816992,35.446791226645004,64
results,traditional,13,0.328023316,0.112961434,0.866127791,1.042714353,1.222318653,1.474307467,600000,1000.0015705791334,999.7187851090601,1,22200000,6.469442815249269,9.34,12.81700879765394,13.9,1075689.384164223,1164128,144.87976539589442,297
results,traditional,15,0.424468174,0.133083503,0.967156017,1.154951465,3.073654913,30.649318429,599999,1000.0002360521158,999.7185882083329,0.9998966664944442,22197669,6.511588235294121,11.7,17.02999999999999,20.5,1428789.9764705882,1723088,146.2058823529412,266
results,traditional,17,0.368893219,0.133811441,0.940893668,1.118324441,1.461518878,6.966492633,600000,1000.0013658351988,998.2060980259284,1,22200000,6.4269387755102,13.4,12.745481049562608,14.7,1069264.6530612244,1229440,142.68804664723032,296
results,traditional,19,0.338842362,0.127471901,0.864877472,1.050984307,1.238443213,6.709974309,600000,1000.000292391752,999.8201786332064,1,22200000,6.464210526315786,14.25,11.37836257309939,13.5,954363.3216374269,1128992,145.26900584795322,293
results,traditional,1,0.340197001,0.290574505,0.682940172,0.738126496,0.844034991,1.077645649,54413,999.6857013728966,796.939361699773,0.7973094664877879,1605208,53.304651162790705,249.8,7.7395348837209275,9.1,649118.8837209302,765424,0,0
results,traditional,3,0.761113181,0.162444887,1.246259467,2.833714151,10.15585034,67.467577847,600000,1000.0002787450777,998.5567897016607,0.998735,22171917,0.27737668161435053,8.17,4.614293721973122,6.5,387691.9730941704,541488,40.681614349775785,191
results,traditional,5,0.325465434,0.114329744,0.855072431,1.038561927,1.212262297,1.497359131,600000,1000.0015771891542,999.8219812729764,1,22200000,0.27628571428571513,7.93,3.8277310924370047,6.4,320773.6918767507,533152,40.82745098039216,168
results,traditional,7,0.324098511,0.11323687,0.85454297,1.039575241,1.210399985,1.47726598,600000,1000.0011524829949,999.8073258538141,1,22200000,0.28067863151991107,8.27,3.838306225462764,6.4,322746.15816040384,536672,40.87661245092541,148
results,traditional,9,13.891409172,0.652527255,52.360518851,65.726799773,88.676032284,146.209112326,600000,1000.0003222651039,873.661622331829,0.8745933333333333,19415972,0.2761154708520187,7.78,3.733352017937174,6.6,312470.7085201794,552960,40.716928251121075,154
results,virtual,10,0.289230287,0.113066987,0.711456852,0.895095966,1.113995084,1.443250246,600000,1000.0010480744317,999.1879141094862,1,19800000,0.16126155519304022,6.1,4.232572050027209,8.1,354875.4235997825,683312,39.47688961392061,46
results,virtual,12,0.349900053,0.111260726,0.788257894,1.001198075,2.712619007,30.662734485,600000,1000.0007506855635,998.9426218736289,0.9999966666666666,19799934,3.271346704871057,8.87,14.126934097421108,17.4,1184815.4040114614,1460464,45.00286532951289,46
results,virtual,14,0.293083805,0.113009276,0.723922224,0.910521483,1.136063847,3.450519365,600000,1000.0008432940444,999.8279980914127,1,19800000,3.214358974358974,6.89,11.192877492877447,12.1,940167.4301994302,1014928,44.99145299145299,46
results,virtual,16,0.296351585,0.116498261,0.745646022,0.925425121,1.121759817,1.349505934,600000,1000.0006377270735,999.8151265461804,1,19800000,3.1305698005698073,6.26,10.603703703703696,13,889283.0541310541,1089120,45.01424501424501,46
results,virtual,18,0.306164806,0.126340651,0.764279828,0.941389932,1.12972465,3.040150512,600000,1000.0016812778267,999.793708408335,1,19800000,3.0911048158640253,5.65,9.233144475920707,11.2,774551.8413597734,939424,45,45
results,virtual,20,0.28823747,0.118963843,0.683791817,0.877254786,1.111850145,2.548197703,600000,1000.0019195220179,999.819652546071,1,19800000,3.3348571428571456,5.94,9.635142857142888,11.2,810493.2571428572,935648,45.002857142857145,46
results,virtual,2,24.219657094,9.840462688,71.118262351,86.830358565,108.989612795,178.176663383,600000,1000.001204758118,678.2487430262088,0.73507,14554386,0.1432132808103549,4.72,8.907090602138195,9.4,748870.9330332021,787696,39.34833989870568,45
results,virtual,4,0.290086259,0.113615299,0.72077281,0.901396638,1.115673325,1.278441544,600000,1000.0016511527263,999.131004395157,1,19800000,0.1572228443449053,5.4,4.757502799552046,6.6,398633.88129899214,554752,39.338745800671894,46
results,virtual,6,0.293084578,0.120652974,0.715896068,0.899108028,1.113888678,2.334979395,600000,1000.000379721811,999.7267131994248,1,19800000,0.15533370723499768,4.14,4.82708917554676,6.1,405731.1138530566,510976,39.33595064498037,46
results,virtual,8,0.298892412,0.11049766,0.72612321,0.914182424,1.159077735,7.538660436,599999,1000.0000825534778,998.9718112630916,1,19799967,0.1597138047138052,4.69,4.321492704826093,5.7,363515.93265993265,475360,39.32716049382716,45
